Item Name,Sale Price,Discount,Free Shipping,Total reviews
"BELLE Mother of Pearl Clover Heart Star Bracelet, White Beaded Bracelet, Stainless Steel Clasp, Homemade Jewelry, Bridesmaids Gift",21.14,(30% off),O,4400.0
Beaded Gold Bangle Bracelet | Dainty Gold Bracelet Gold Bangles 14k Gold Filled Bangle Set Minimalist Bracelet Bridesmaid Bracelet Minimal,60.00,No discount,O,5100.0
"Men's Personalised Leather Bracelet, Men's Engraved Bracelet, Custom Bracelet, Engraved bracelet, Gift for men, Man's bracelet, Gift for him",78.34,No discount,O,1600.0
herkimer diamond cuff | herkimer bracelet | raw diamond bangle | april birthstone cuff | april birthstone bracelet | raw quartz cuff,146.00,No discount,O,3400.0
"Thin Gold Bangle, 1 Or 3 Dainty Bangle Bracelet, Simple Stacking Bangle, Rose Gold Cuff, Silver, Minimalist Jewelry | Celebration Bangles",69.99,No discount,O,5100.0
14k Gold Turquoise Stone Bracelet • Row Turquoise Stone Bracelet • Turquoise Gold Stone Bracelet • Dainty Turquoise Stone Bracelet,60.83,(40% off),O,11900.0
"Morganite & Pearl Bracelet, Morganite Bracelet, Beaded Bracelet, Crystal Jewelry, Pearl Bracelet, Morganite Jewelry, Dainty Jewelry",22.40,(30% off),O,1300.0
"Livadi cowrie shell bracelet, Handmade bracelet, Boho bracelet, Surfer bracelet, Beach bracelet, Stack bracelet, Bali, Pineapple Island",8.63,No discount,X,18000.0
"Gold heart diamond bracelet, tiny heart diamond bracelet, valentines day gift, 14k rose, yellow, white gold, dainty heart",170.00,No discount,O,1900.0
"Remember you are braver than you believe, stronger than you feel and smarter than you think message bracelet - personalised with a name",146.06,No discount,O,1600.0
"minimalist bracelet made with thin cord and black beads for woman, man gift",9.21,(10% off),X,2200.0
"Art Deco Bracelet, Pearl Bracelet, Bridal Jewelry, Bridesmaids, Freshwater Pearl Bangle, 1920s Wedding Jewelry, SlLVER PEARL CC BRACELET",23.90,No discount,O,39800.0
"Coconut Bead Anklet, Handmade anklet, Surf anklet, Beach anklet, Ankle bracelet, Wood jewelry, Boho anklet, Surfer anklet, Pineapple Island",7.97,No discount,X,18000.0
"Family Tree Bracelet, Personalized Bangle Bracelet, Tree Bangle, Tree Bracelet, Personalized Jewelry, Initial Jewelry",24.00,No discount,O,11600.0
Custom Name Bead Bracelet with Thin Gold or Silver Accents | Heishi Bracelet,10.50,(25% off),X,8600.0
